A01,,A02,,A03,,A04,,A05,,A06,,A07,,A08,,A09,,A10,
30.23566986,3328.890086,30.14102619,3127.521465,30.21838352,3279.836691,30.48773459,3235.873946,29.30945487,2927.305176,28.74188383,3140.380499,30.89425546,3276.745058,30.0537457,2780.361193,30.68610957,3295.782929,30.74842689,3374.210173
30.98776118,3232.729611,31.22613125,3207.859691,29.73441832,3284.203729,29.57225814,3209.746255,29.98416781,2805.36767,30.45633569,3191.668432,29.70160082,3089.587186,29.67241838,2801.589805,30.46660935,3111.030103,29.8743325,3047.52124
30.79236424,3307.595398,30.55784003,3310.622833,29.82902738,3311.578336,29.52366864,3318.048846,30.24134448,2956.354232,30.20160441,3307.688822,30.69649902,3179.10446,30.9068637,2727.338714,30.41337196,3113.653793,30.6198983,3144.020895
31.05688604,3324.866708,30.7615271,3396.589288,30.72415392,3427.98747,31.07342606,3423.48505,30.8544992,2839.371146,30.72860757,3408.98618,31.15266059,3204.099668,30.65486259,3004.887345,31.02510848,3129.57921,30.61240929,3092.33649
30.9603917,3414.682125,31.25482204,3496.797023,30.96658908,3466.106047,30.99772375,3449.457869,30.55254939,2989.934751,31.17970429,3347.273449,30.77747404,3333.397424,31.07671641,2844.58892,31.36507169,3183.612002,30.76058339,3167.614206
31.60924964,3435.539971,32.13550438,3521.600153,31.62080922,3620.651291,31.15219526,3707.662899,30.99271812,2903.689665,30.71702484,3555.919241,31.93461076,3213.612095,31.29531994,3150.99316,32.03169654,3251.083035,31.66084794,3303.346122
32.04451422,3544.059,32.35334143,3499.967415,31.33386348,3642.077804,31.13430641,3520.180036,32.20318787,3111.132666,31.20605092,3645.110112,32.02490052,3542.609616,32.40294566,3202.242398,32.26447359,3370.714746,32.3363003,3452.351973
33.13051478,3657.740267,33.32451452,3616.419216,31.6767085,3607.329533,31.33667107,3693.205147,32.48427912,3160.229554,32.35323358,3548.286319,32.03295169,3243.81825,32.2636819,3326.250635,32.50548829,3201.878978,32.04290659,3246.682389
33.01824518,3725.881792,33.07059792,3675.310567,32.00717203,3605.57568,31.62456785,3502.42075,32.02794956,3358.084284,31.99747769,3820.59988,33.45582076,3307.115425,33.25872143,3330.430284,33.0960813,3342.002834,33.21971494,3258.927951
32.97907887,3762.548674,32.8498759,3682.059913,32.42362604,3741.687567,32.67820293,3798.450007,32.55772842,3407.184807,33.06786036,3858.922779,33.09576428,3362.191123,33.14545306,3373.907426,32.88335207,3412.338544,32.81492658,3448.221308
